STATE,2000,2004,2008,2012,2016
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,2,2,2,2,2
6,1,1,2,2,2
7,2,2,2,2,2
8,2,2,2,2,2
9,2,2,2,2,2
10,1,1,2,2,1
11,1,1,1,1,1
12,2,2,2,2,2
13,1,1,1,1,1
14,2,2,2,2,2
15,1,1,2,1,1
16,2,1,2,2,1
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,2,2,2,2,2
21,2,2,2,2,2
22,2,2,2,2,2
23,2,2,2,2,1
24,2,2,2,2,2
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,2,1,1
29,1,1,2,2,2
30,1,2,2,2,2
31,2,2,2,2,2
32,2,1,2,2,2
33,2,2,2,2,2
34,1,1,2,1,1
35,1,1,1,1,1
36,1,1,2,2,1
37,1,1,1,1,1
38,2,2,2,2,2
39,2,2,2,2,1
40,2,2,2,2,2
41,1,1,1,1,1
42,1,1,1,1,1
43,1,1,1,1,1
44,1,1,1,1,1
45,1,1,1,1,1
46,2,2,2,2,2
47,1,1,2,2,2
48,2,2,2,2,2
49,1,1,1,1,1
50,2,2,2,2,1
51,1,1,1,1,1
