STATE,1984,1988,1992,1996,2000,2004,2008,2012,Pr_2016,Und_Util,Rel_Income,Pct_Urban,Net_Intl_Migr,Net_Dom_Migr,Pct_Race_Wh,Pct_Female
1,1,1,1,1,1,1,1,1,1,9.1,0.41415,59,27276,2005,0.694501664,0.515704019
2,1,1,1,1,1,1,1,1,1,12.8,0.60287,66,12072,-22265,0.665412658,0.473174239
3,1,1,1,2,1,1,1,1,1.125,9.2,0.46709,89.8,77464,160346,0.83455796,0.503301448
4,1,1,2,2,1,1,1,1,1.25,10.3,0.38758,56.2,17755,249,0.795009677,0.508812694
5,1,1,2,2,2,2,2,2,1.75,11,0.67458,95,834999,-266115,0.728966807,0.503304167
6,1,1,2,1,1,1,2,2,1.375,9.5,0.55387,86.2,59257,192337,0.875429894,0.497163788
7,1,1,2,2,2,2,2,2,1.75,9.1,0.65753,88,88195,-104537,0.80838935,0.512168585
8,1,1,2,2,2,2,2,2,1.75,6.7,0.57954,83.3,13715,18038,0.704263722,0.516024374
9,2,2,2,2,2,2,2,2,2,12.3,0.65124,100,20837,25596,0.44076117,0.526052173
10,1,1,1,2,1,1,2,2,1.375,8.3,0.44299,91.2,610495,650660,0.776885535,0.511498884
11,1,1,2,1,1,1,1,1,1.125,8,0.46007,75.1,134971,82493,0.61635343,0.512486515
12,1,2,2,2,2,2,2,2,1.875,7.5,0.62814,91.9,46782,-18423,0.267428889,0.493314837
13,1,1,1,1,1,1,1,1,1,9.3,0.43341,70.6,9689,19788,0.933863064,0.499225345
14,1,1,2,2,2,2,2,2,1.75,10.2,0.53234,88.5,170366,-425954,0.772918885,0.508981535
15,1,1,1,1,1,1,2,1,1.125,8.9,0.46438,72.4,57474,-47311,0.85829028,0.507247329
16,1,2,2,2,2,1,2,2,1.75,8,0.49427,64,29280,-7170,0.91754567,0.503176639
17,1,1,1,1,1,1,1,1,1,9.1,0.48964,74.2,33848,-52597,0.86652544,0.500751295
18,1,1,2,2,1,1,1,1,1.25,8.9,0.41141,58.4,34455,-12292,0.880882703,0.507559617
19,1,1,2,2,1,1,1,1,1.25,10.1,0.41734,73.2,39473,-10567,0.632490595,0.511037475
20,1,1,2,2,2,2,2,2,1.75,8.7,0.46033,38.7,7041,-4143,0.94918109,0.510085547
21,1,1,2,2,2,2,2,2,1.75,7.1,0.70004,87.2,148515,-56054,0.596323322,0.515336222
22,1,2,2,2,2,2,2,2,1.875,8.3,0.64859,92,202434,-46933,0.821318576,0.514878823
23,1,1,2,2,2,2,2,2,1.75,12.1,0.45981,74.6,111091,-191130,0.797080919,0.508378873
24,2,2,2,2,2,2,2,2,2,8.2,0.61814,73.3,72374,-36723,0.853525051,0.502720238
25,1,1,1,1,1,1,1,1,1,10.7,0.36919,49.4,12952,-38499,0.594781062,0.514810016
26,1,1,2,2,1,1,1,1,1.25,9.3,0.45247,70.4,47373,-51818,0.833231969,0.509334987
27,1,1,2,1,1,1,1,1,1.125,9.6,0.44222,55.9,3692,22811,0.892451612,0.497235585
28,1,1,1,1,1,1,2,1,1.125,7.4,0.50296,73.1,21893,-7731,0.891058385,0.501543622
29,1,1,2,2,1,1,2,2,1.5,7.8,0.48927,94.2,41949,69231,0.756792218,0.498225951
30,1,1,2,2,1,2,2,2,1.625,6.3,0.64712,60.3,10377,-5524,0.939184192,0.505747748
31,1,1,2,2,2,2,2,2,1.75,7.7,0.69825,94.7,270306,-269194,0.726374253,0.511932389
32,1,1,2,2,2,1,2,2,1.625,9.3,0.41963,77.4,15926,-43041,0.825442219,0.504380347
33,1,2,2,2,2,2,2,2,1.875,9.7,0.55246,87.9,630763,-653071,0.70085848,0.514466838
34,1,1,1,1,1,1,2,1,1.125,9.9,0.43916,66.1,116875,180189,0.712428065,0.51288246
35,1,1,1,1,1,1,1,1,1,6.6,0.51704,59.9,8057,53048,0.8857261,0.486274106
36,1,1,2,2,1,1,2,2,1.5,10.6,0.45749,77.9,95444,-153296,0.827052627,0.510348499
37,1,1,1,1,1,1,1,1,1,9.1,0.43225,66.2,33359,43544,0.748045298,0.504741344
38,1,2,2,2,2,2,2,2,1.875,13.6,0.46816,81,36279,93408,0.876074994,0.505291294
39,1,1,2,2,2,2,2,2,1.75,9.1,0.50228,78.7,164475,-132073,0.825895999,0.510691464
40,1,2,2,2,2,2,2,2,1.875,8.8,0.53636,90.7,22298,-25743,0.847623493,0.515336581
41,1,1,1,1,1,1,1,1,1,11.7,0.42367,66.3,31974,159023,0.683731041,0.514114162
42,1,1,1,1,1,1,1,1,1,6.6,0.48321,56.7,7924,10267,0.855458962,0.496806524
43,1,1,2,2,1,1,1,1,1.25,9.1,0.41693,66.4,49546,104944,0.787727647,0.512527993
44,1,1,1,1,1,1,1,1,1,10.6,0.49392,84.7,463449,736492,0.796868621,0.503522757
45,1,1,1,1,1,1,1,1,1,9.7,0.55869,90.6,29344,14576,0.912067716,0.496949016
46,1,1,2,2,2,2,2,2,1.75,7.1,0.52776,38.9,4050,-6482,0.947797432,0.507180029
47,1,1,1,1,1,1,2,2,1.25,6.9,0.62881,75.5,182418,-17437,0.702185484,0.507960343
48,1,2,2,2,2,2,2,2,1.875,11.6,0.57835,84.1,127116,124326,0.802831967,0.500024755
49,1,2,2,2,1,1,1,1,1.375,9.4,0.38482,48.7,6259,-8166,0.936117233,0.505967048
50,1,2,2,2,2,2,2,2,1.875,9,0.50395,70.2,38001,-52211,0.876329696,0.50313073
51,1,1,1,1,1,1,1,1,1,7,0.56322,64.8,2932,3129,0.926950199,0.490023153
